,rank,player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48,year,player_url,player_img
254,3,James Posey,27,MEM,17.0,137.0,605,0.226,82,29.9,13.7,4.9,1.5,1.7,0.5,.478,.386,.830,10.0,.195,2004,https://www.basketball-reference.com//players/p/poseyja01.html,https://www.basketball-reference.com/req/202106291/images/players/poseyja01.jpg
255,4,Andrei Kirilenko,22,UTA,11.0,101.0,605,0.167,78,37.1,16.5,8.1,3.1,1.9,2.8,.443,.338,.790,11.6,.192,2004,https://www.basketball-reference.com//players/k/kirilan01.html,https://www.basketball-reference.com/req/202106291/images/players/kirilan01.jpg
256,5,Michael Redd,24,MIL,9.0,95.0,605,0.157,82,36.8,21.7,5.0,2.3,1.0,0.1,.440,.350,.868,9.7,.154,2004,https://www.basketball-reference.com//players/r/reddmi01.html,https://www.basketball-reference.com/req/202106291/images/players/reddmi01.jpg
257,6,Lamar Odom,24,MIA,1.0,31.0,605,0.051,80,37.5,17.1,9.7,4.1,1.1,0.9,.430,.298,.742,8.4,.134,2004,https://www.basketball-reference.com//players/o/odomla01.html,https://www.basketball-reference.com/req/202106291/images/players/odomla01.jpg
258,7,Jamaal Magloire,25,NOH,3.0,26.0,605,0.043,82,33.9,13.6,10.3,1.0,0.5,1.2,.473,.000,.751,7.6,.131,2004,https://www.basketball-reference.com//players/m/magloja01.html,https://www.basketball-reference.com/req/202106291/images/players/magloja01.jpg
259,8,Samuel Dalembert,22,PHI,3.0,25.0,605,0.041,82,26.8,8.0,7.6,0.3,0.5,2.3,.541,.000,.644,6.9,.151,2004,https://www.basketball-reference.com//players/d/dalemsa01.html,https://www.basketball-reference.com/req/202106291/images/players/dalemsa01.jpg
260,9,Joe Johnson,22,PHO,1.0,20.0,605,0.033,82,40.6,16.7,4.7,4.4,1.1,0.3,.430,.305,.750,3.3,.047,2004,https://www.basketball-reference.com//players/j/johnsjo02.html,https://www.basketball-reference.com/req/202106291/images/players/johnsjo02.jpg
261,10,Brian Cardinal,26,GSW,1.0,18.0,605,0.030,76,21.5,9.6,4.2,1.4,0.9,0.3,.472,.444,.878,7.2,.212,2004,https://www.basketball-reference.com//players/c/cardibr01.html,https://www.basketball-reference.com/req/202106291/images/players/cardibr01.jpg
262,11,Rafer Alston,27,MIA,2.0,16.0,605,0.026,82,31.5,10.2,2.8,4.5,1.4,0.2,.376,.371,.769,5.9,.110,2004,https://www.basketball-reference.com//players/a/alstora01.html,https://www.basketball-reference.com/req/202106291/images/players/alstora01.jpg
263,12,Mark Blount,28,BOS,0.0,10.0,605,0.017,82,29.3,10.3,7.2,0.9,1.0,1.3,.566,NO DATA,.719,6.5,.131,2004,https://www.basketball-reference.com//players/b/blounma01.html,https://www.basketball-reference.com/req/202106291/images/players/blounma01.jpg
264,13T,Quentin Richardson,23,LAC,1.0,8.0,605,0.013,65,36.0,17.2,6.4,2.1,1.0,0.3,.398,.352,.740,2.4,.050,2004,https://www.basketball-reference.com//players/r/richaqu01.html,https://www.basketball-reference.com/req/202106291/images/players/richaqu01.jpg
265,13T,Carlos Arroyo,24,UTA,0.0,8.0,605,0.013,71,28.3,12.6,2.6,5.0,0.9,0.1,.441,.325,.804,4.7,.112,2004,https://www.basketball-reference.com//players/a/arroyca01.html,https://www.basketball-reference.com/req/202106291/images/players/arroyca01.jpg
266,15T,Metta World Peace,24,IND,1.0,7.0,605,0.012,73,37.2,18.3,5.3,3.7,2.1,0.7,.421,.310,.733,8.0,.141,2004,https://www.basketball-reference.com//players/a/artesro01.html,https://www.basketball-reference.com/req/202106291/images/players/artesro01.jpg
267,15T,Yao Ming,23,HOU,0.0,7.0,605,0.012,82,32.8,17.5,9.0,1.5,0.3,1.9,.522,.000,.809,11.4,.202,2004,https://www.basketball-reference.com//players/m/mingya01.html,https://www.basketball-reference.com/req/202106291/images/players/mingya01.jpg
268,15T,Ronald Murray,24,SEA,0.0,7.0,605,0.012,82,24.6,12.4,2.5,2.5,1.0,0.3,.425,.293,.715,1.7,.040,2004,https://www.basketball-reference.com//players/m/murraro01.html,https://www.basketball-reference.com/req/202106291/images/players/murraro01.jpg
269,18,Erick Dampier,28,GSW,0.0,5.0,605,0.008,74,32.5,12.3,12.0,0.8,0.4,1.9,.535,.000,.654,8.9,.178,2004,https://www.basketball-reference.com//players/d/dampier01.html,https://www.basketball-reference.com/req/202106291/images/players/dampier01.jpg
270,19,Richard Jefferson,23,NJN,0.0,4.0,605,0.007,82,38.2,18.5,5.7,3.8,1.1,0.3,.498,.364,.763,11.0,.168,2004,https://www.basketball-reference.com//players/j/jefferi01.html,https://www.basketball-reference.com/req/202106291/images/players/jefferi01.jpg
271,20T,Mike Dunleavy,23,GSW,0.0,3.0,605,0.005,75,31.1,11.7,5.9,2.9,0.9,0.2,.449,.370,.741,5.2,.107,2004,https://www.basketball-reference.com//players/d/dunlemi02.html,https://www.basketball-reference.com/req/202106291/images/players/dunlemi02.jpg
272,20T,Manu Ginóbili,26,SAS,0.0,3.0,605,0.005,77,29.4,12.8,4.5,3.8,1.8,0.2,.418,.359,.802,9.1,.194,2004,https://www.basketball-reference.com//players/g/ginobma01.html,https://www.basketball-reference.com/req/202106291/images/players/ginobma01.jpg
