,rank,player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48,year,player_url,player_img
354,6,Metta World Peace,30,LAL,0.0,29.0,610,0.048,77,33.8,11.0,4.3,3.0,1.4,0.3,.414,.355,.688,5.3,.098,2010,https://www.basketball-reference.com//players/a/artesro01.html,https://www.basketball-reference.com/req/202106291/images/players/artesro01.jpg
355,7,Andrew Bogut,25,MIL,1.0,23.0,610,0.038,69,32.3,15.9,10.2,1.8,0.6,2.5,.520,.000,.629,7.5,.161,2010,https://www.basketball-reference.com//players/b/bogutan01.html,https://www.basketball-reference.com/req/202106291/images/players/bogutan01.jpg
356,8,Thabo Sefolosha,25,OKC,2.0,20.0,610,0.033,82,28.6,6.0,4.7,1.8,1.2,0.6,.440,.313,.674,4.0,.082,2010,https://www.basketball-reference.com//players/s/sefolth01.html,https://www.basketball-reference.com/req/202106291/images/players/sefolth01.jpg
357,9,Anderson Varejão,27,CLE,0.0,18.0,610,0.030,76,28.5,8.6,7.6,1.1,0.9,0.9,.572,.200,.663,8.1,.179,2010,https://www.basketball-reference.com//players/v/varejan01.html,https://www.basketball-reference.com/req/202106291/images/players/varejan01.jpg
358,10T,Marcus Camby,35,TOT,0.0,13.0,610,0.021,74,31.3,7.5,11.8,2.5,1.3,2.0,.475,.286,.639,6.8,.142,2010,https://www.basketball-reference.com//players/c/cambyma01.html,https://www.basketball-reference.com/req/202106291/images/players/cambyma01.jpg
359,10T,Dwyane Wade,28,MIA,0.0,13.0,610,0.021,77,36.3,26.6,4.8,6.5,1.8,1.1,.476,.300,.761,13.0,.224,2010,https://www.basketball-reference.com//players/w/wadedw01.html,https://www.basketball-reference.com/req/202106291/images/players/wadedw01.jpg
360,12,Kobe Bryant,31,LAL,0.0,9.0,610,0.015,73,38.8,27.0,5.4,5.0,1.5,0.3,.456,.329,.811,9.4,.160,2010,https://www.basketball-reference.com//players/b/bryanko01.html,https://www.basketball-reference.com/req/202106291/images/players/bryanko01.jpg
361,13,Shawn Marion,31,DAL,0.0,8.0,610,0.013,75,31.8,12.0,6.4,1.4,0.9,0.8,.508,.158,.755,5.0,.100,2010,https://www.basketball-reference.com//players/m/mariosh01.html,https://www.basketball-reference.com/req/202106291/images/players/mariosh01.jpg
362,14,Tim Duncan,33,SAS,0.0,7.0,610,0.011,78,31.3,17.9,10.1,3.2,0.6,1.5,.518,.182,.725,10.9,.215,2010,https://www.basketball-reference.com//players/d/duncati01.html,https://www.basketball-reference.com/req/202106291/images/players/duncati01.jpg
363,15,Shane Battier,31,HOU,0.0,5.0,610,0.008,67,32.4,8.0,4.7,2.4,0.8,1.1,.398,.362,.726,4.3,.095,2010,https://www.basketball-reference.com//players/b/battish01.html,https://www.basketball-reference.com/req/202106291/images/players/battish01.jpg
364,16,Andrei Kirilenko,28,UTA,0.0,4.0,610,0.007,58,29.0,11.9,4.6,2.7,1.4,1.2,.506,.292,.744,6.0,.171,2010,https://www.basketball-reference.com//players/k/kirilan01.html,https://www.basketball-reference.com/req/202106291/images/players/kirilan01.jpg
