,rank,player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48,year,player_url,player_img
302,15T,Mike Dunleavy,31,MIL,0.0,2.0,595,0.003,55,26.3,12.3,3.7,2.1,0.5,0.1,.474,.399,.811,4.4,.146,2012,https://www.basketball-reference.com//players/d/dunlemi02.html,https://www.basketball-reference.com/req/202106291/images/players/dunlemi02.jpg
303,15T,Tyler Hansbrough,26,IND,0.0,2.0,595,0.003,66,21.8,9.3,4.4,0.5,0.8,0.1,.405,.000,.813,3.9,.129,2012,https://www.basketball-reference.com//players/h/hansbty01.html,https://www.basketball-reference.com/req/202106291/images/players/hansbty01.jpg
304,15T,Gary Neal,27,SAS,0.0,2.0,595,0.003,56,21.5,9.9,2.1,2.1,0.5,0.0,.436,.419,.781,2.5,.101,2012,https://www.basketball-reference.com//players/n/nealga01.html,https://www.basketball-reference.com/req/202106291/images/players/nealga01.jpg
305,18T,George Hill,25,IND,0.0,1.0,595,0.002,50,25.5,9.6,3.0,2.9,0.8,0.3,.442,.367,.778,4.0,.152,2012,https://www.basketball-reference.com//players/h/hillge01.html,https://www.basketball-reference.com/req/202106291/images/players/hillge01.jpg
306,18T,Andre Miller,35,DEN,0.0,1.0,595,0.002,66,27.4,9.7,3.3,6.7,1.0,0.1,.438,.217,.811,2.9,.078,2012,https://www.basketball-reference.com//players/m/millean02.html,https://www.basketball-reference.com/req/202106291/images/players/millean02.jpg
307,18T,J.R. Smith,26,NYK,0.0,1.0,595,0.002,35,27.6,12.5,3.9,2.4,1.5,0.2,.407,.347,.709,2.5,.122,2012,https://www.basketball-reference.com//players/s/smithjr01.html,https://www.basketball-reference.com/req/202106291/images/players/smithjr01.jpg
308,1,J.R. Smith,27,NYK,72.0,484.0,605,0.800,80,33.5,18.1,5.3,2.7,1.3,0.3,.422,.356,.762,6.7,.120,2013,https://www.basketball-reference.com//players/s/smithjr01.html,https://www.basketball-reference.com/req/202106291/images/players/smithjr01.jpg
309,2,Jamal Crawford,32,LAC,31.0,352.0,605,0.582,76,29.3,16.5,1.7,2.5,1.0,0.2,.438,.376,.871,5.4,.116,2013,https://www.basketball-reference.com//players/c/crawfja01.html,https://www.basketball-reference.com/req/202106291/images/players/crawfja01.jpg
310,3,Jarrett Jack,29,GSW,14.0,170.0,605,0.281,79,29.7,12.9,3.1,5.6,0.8,0.1,.452,.404,.843,5.6,.115,2013,https://www.basketball-reference.com//players/j/jackja01.html,https://www.basketball-reference.com/req/202106291/images/players/jackja01.jpg
311,4,Kevin Martin,29,OKC,2.0,31.0,605,0.051,77,27.7,14.0,2.3,1.4,0.9,0.1,.450,.426,.890,7.0,.157,2013,https://www.basketball-reference.com//players/m/martike02.html,https://www.basketball-reference.com/req/202106291/images/players/martike02.jpg
312,5,Ryan Anderson,24,NOH,1.0,11.0,605,0.018,81,30.9,16.2,6.4,1.2,0.5,0.4,.423,.382,.844,6.5,.125,2013,https://www.basketball-reference.com//players/a/anderry01.html,https://www.basketball-reference.com/req/202106291/images/players/anderry01.jpg
313,6,Andre Miller,36,DEN,0.0,7.0,605,0.012,82,26.2,9.6,2.9,5.9,0.9,0.1,.479,.266,.840,5.4,.120,2013,https://www.basketball-reference.com//players/m/millean02.html,https://www.basketball-reference.com/req/202106291/images/players/millean02.jpg
314,7,Jordan Crawford,24,TOT,1.0,5.0,605,0.008,70,24.4,11.6,3.0,3.2,0.6,0.1,.415,.337,.811,1.9,.052,2013,https://www.basketball-reference.com//players/c/crawfjo02.html,https://www.basketball-reference.com/req/202106291/images/players/crawfjo02.jpg
315,8T,Corey Brewer,26,DEN,0.0,4.0,605,0.007,82,24.4,12.1,2.9,1.5,1.4,0.3,.425,.296,.690,3.9,.093,2013,https://www.basketball-reference.com//players/b/breweco01.html,https://www.basketball-reference.com/req/202106291/images/players/breweco01.jpg
316,8T,Manu Ginóbili,35,SAS,0.0,4.0,605,0.007,60,23.2,11.8,3.4,4.6,1.3,0.2,.425,.353,.796,4.5,.155,2013,https://www.basketball-reference.com//players/g/ginobma01.html,https://www.basketball-reference.com/req/202106291/images/players/ginobma01.jpg
317,8T,Carl Landry,29,GSW,0.0,4.0,605,0.007,81,23.2,10.8,6.0,0.8,0.4,0.4,.540,.333,.817,6.2,.159,2013,https://www.basketball-reference.com//players/l/landrca01.html,https://www.basketball-reference.com/req/202106291/images/players/landrca01.jpg
318,8T,Nate Robinson,28,CHI,0.0,4.0,605,0.007,82,25.4,13.1,2.2,4.4,1.0,0.1,.433,.405,.799,5.9,.136,2013,https://www.basketball-reference.com//players/r/robinna01.html,https://www.basketball-reference.com/req/202106291/images/players/robinna01.jpg
319,12T,Shane Battier,34,MIA,0.0,2.0,605,0.003,72,24.8,6.6,2.3,1.0,0.6,0.8,.420,.430,.842,4.4,.119,2013,https://www.basketball-reference.com//players/b/battish01.html,https://www.basketball-reference.com/req/202106291/images/players/battish01.jpg
320,12T,Ramon Sessions,26,CHA,0.0,2.0,605,0.003,61,27.1,14.4,2.8,3.8,0.8,0.1,.408,.308,.839,2.9,.084,2013,https://www.basketball-reference.com//players/s/sessira01.html,https://www.basketball-reference.com/req/202106291/images/players/sessira01.jpg
321,14T,Luke Babbitt,23,POR,0.0,1.0,605,0.002,62,11.8,3.9,2.2,0.5,0.2,0.1,.368,.348,.769,0.7,.047,2013,https://www.basketball-reference.com//players/b/babbilu01.html,https://www.basketball-reference.com/req/202106291/images/players/babbilu01.jpg
322,14T,Vince Carter,36,DAL,0.0,1.0,605,0.002,81,25.8,13.4,4.1,2.4,0.9,0.5,.435,.406,.816,6.0,.137,2013,https://www.basketball-reference.com//players/c/cartevi01.html,https://www.basketball-reference.com/req/202106291/images/players/cartevi01.jpg
323,14T,Gordon Hayward,22,UTA,0.0,1.0,605,0.002,72,29.2,14.1,3.1,3.0,0.8,0.5,.435,.415,.827,5.4,.123,2013,https://www.basketball-reference.com//players/h/haywago01.html,https://www.basketball-reference.com/req/202106291/images/players/haywago01.jpg
324,14T,J.J. Redick,28,TOT,0.0,1.0,605,0.002,78,30.5,14.1,2.2,3.8,0.5,0.1,.434,.366,.900,4.5,.091,2013,https://www.basketball-reference.com//players/r/redicjj01.html,https://www.basketball-reference.com/req/202106291/images/players/redicjj01.jpg
325,1,Jamal Crawford,33,LAC,57.0,421.0,625,0.674,69,30.3,18.6,2.3,3.2,0.9,0.2,.416,.361,.866,5.3,.122,2014,https://www.basketball-reference.com//players/c/crawfja01.html,https://www.basketball-reference.com/req/202106291/images/players/crawfja01.jpg
326,2,Taj Gibson,28,CHI,49.0,395.0,625,0.632,82,28.7,13.0,6.8,1.1,0.5,1.4,.479,.000,.751,5.7,.117,2014,https://www.basketball-reference.com//players/g/gibsota01.html,https://www.basketball-reference.com/req/202106291/images/players/gibsota01.jpg
